icd10;entity_level_10;entity_level_11;entity_level_12;entity_level_13;entity_level_20;entity_level_30
d307;980;990;970;;;280
d309;980;990;970;;;280
d31;;;;;;999
d310;;;;;;999
d311;;;;;;999
d312;;;;;;999
d313;;;;;;999
d314;;;;;;999
d315;;;;;;999
d316;;;;;;999
d319;;;;;;999
d32;980;990;970;321;320;
d320;980;990;970;321;320;
d321;980;990;970;321;320;
d329;980;990;970;321;320;
d33;980;990;970;321;320;
d330;980;990;970;321;320;
d331;980;990;970;321;320;
d332;980;990;970;321;320;
d333;980;990;970;321;320;
d334;980;990;970;321;320;
d337;980;990;970;321;320;
d339;980;990;970;321;320;
d34;;;;;;999
d35;;;;;;999
d350;;;;;;999
d351;;;;;;999
d352;980;990;970;321;;315
d353;980;990;970;321;;315
d354;980;990;970;321;;315
d355;;;;;;999
d356;;;;;;999
d357;;;;;;999
d358;;;;;;999
d359;;;;;;999
d36;;;;;;999
d360;;;;;;999
d361;;;;;;999
d367;;;;;;999
d369;;;;;;999
d37;;;;;;999
d370;;;;;;999
d371;;;;;;999
d372;;;;;;999
d373;;;;;;999
d374;;;;;;999
d375;;;;;;999
d376;;;;;;999
d377;;;;;;999
d379;;;;;;999
d38;;;;;;999
d380;;;;;;999
d381;;;;;;999
d382;;;;;;999
d383;;;;;;999
d384;;;;;;999
d385;;;;;;999
d386;;;;;;999
d39;;;;;;999
d390;;;;;;999
d391;;;;;;999
d392;;;;;;999
d397;;;;;;999
d399;;;;;;999
d40;;;;;;999
d400;;;;;;999
d401;;;;;;999
d407;;;;;;999
d409;;;;;;999
d41;980;990;970;;;280
d410;;;;;;999
d411;980;990;970;;;280
d412;980;990;970;;;280
d413;980;990;970;;;280
d414;980;990;970;;;280
d417;980;990;970;;;280
d419;980;990;970;;;280
d42;980;990;970;321;320;
d420;980;990;970;321;320;
d421;980;990;970;321;320;
d429;980;990;970;321;320;
d43;980;990;970;321;320;
d430;980;990;970;321;320;
d431;980;990;970;321;320;
d432;980;990;970;321;320;
d433;980;990;970;321;320;
d434;980;990;970;321;320;
d437;980;990;970;321;320;
d439;980;990;970;321;320;
d44;;;;;;999
d440;;;;;;999
d441;;;;;;999
d442;;;;;;999
d443;980;990;970;321;;315
d444;980;990;970;321;;315
d445;980;990;970;321;;315
d446;;;;;;999
d447;;;;;;999
d448;;;;;;999
d449;;;;;;999
d45;980;990;970;430;;392
d46;980;990;970;430;;390
d460;980;990;970;430;;390
d461;980;990;970;430;;390
d462;980;990;970;430;;390
d463;980;990;970;430;;390
d464;980;990;970;430;;390
d465;980;990;970;430;;390
d466;980;990;970;430;;390
d467;980;990;970;430;;390
d469;980;990;970;430;;390
d47;980;990;970;430;;394
d470;980;990;970;430;;394
d471;980;990;970;430;;392
d472;980;990;970;430;;394
d473;980;990;970;430;;392
d474;980;990;970;430;;392
d475;980;990;970;430;;392
d477;980;990;970;430;;394
d479;980;990;970;430;;394
d48;;;;;;999
d480;;;;;;999
d481;;;;;;999
d482;;;;;;999
d483;;;;;;999
d484;;;;;;999
d485;;;;;;999
d486;;;;;;999
d487;;;;;;999
d489;;;;;;999
o011;;;;;;999
o010;;;;;;999
o019;;;;;;999
d228;;;;;;999
d238;;;;;;999
n40;;;;;;999
